日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-20 00:00:00,Short,MSCI,550.79,-12.39%,674.2,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MSCI INC,1WK
2026-07-20 00:00:00,Short,LINC,40.51,-5.68%,48.67,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",LINCOLN EDUCATIONAL SERVICES,1WK
2026-07-20 00:00:00,Long,TXNM,58.4,1.72%,56.69,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TXNM ENERGY INC,1WK
2026-07-20 00:00:00,Long,TXNM,58.4,1.72%,56.69,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 20}}",TXNM ENERGY INC,1WK
2026-07-20 00:00:00,Short,NAMS,29.64,-6.44%,36.74,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NEWAMSTERDAM PHARMA CO NV,1WK
2026-07-20 00:00:00,Short,AUR,5.95,-1.82%,7.68,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",AURORA INNOVATION INC,1WK
2026-07-20 00:00:00,Short,ALOY,7.03,-20.93%,12.82,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",REALLOYS INC,1WK
2026-07-20 00:00:00,Short,EVH,4.22,-27.37%,6.74,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EVOLENT HEALTH INC - A,1WK
2026-07-20 00:00:00,Short,CNM,43.62,-3.58%,49.17,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CORE & MAIN INC-CLASS A,1WK
2026-07-20 00:00:00,Long,LMT,582.6,14.51%,448.58,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",LOCKHEED MARTIN CORP,1WK
