日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-06-08 00:00:00,Short,SMCI,31.97,-23.22%,51.3,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SUPER MICRO COMPUTER INC,1WK
2026-06-08 00:00:00,Short,AR,34.22,-3.77%,38.95,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ANTERO RESOURCES CORP,1WK
2026-06-08 00:00:00,Long,SRAD,16.96,22.01%,12.49,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPORTRADAR GROUP AG-A,1WK
2026-06-08 00:00:00,Long,SRAD,16.96,22.01%,12.49,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 23}}",SPORTRADAR GROUP AG-A,1WK
2026-06-08 00:00:00,Long,ASH,65.53,17.45%,49.98,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ASHLAND INC,1WK
2026-06-08 00:00:00,Long,EDHL,5.98,42.04%,0.47,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EVERBRIGHT DIGITAL HOLDING L,1WK
2026-06-08 00:00:00,Long,BUSE,28.47,3.23%,26.21,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FIRST BUSEY CORP,1WK
2026-06-08 00:00:00,Long,BKU,48.64,3.18%,44.66,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BANKUNITED INC,1WK
2026-06-08 00:00:00,Short,VRSN,279.57,-5.20%,308.66,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VERISIGN INC,1WK
2026-06-08 00:00:00,Long,BY,35.08,3.85%,32.06,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BYLINE BANCORP INC,1WK
2026-06-08 00:00:00,Long,GO,9.42,10.05%,7.48,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GROCERY OUTLET HOLDING CORP,1WK
2026-06-08 00:00:00,Long,LGIH,55.39,10.01%,44.23,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",LGI HOMES INC,1WK
2026-06-08 00:00:00,Long,WSM,218.74,6.71%,185.91,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WILLIAMS-SONOMA INC,1WK
2026-06-08 00:00:00,Short,PLUG,2.83,-12.11%,3.87,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PLUG POWER INC,1WK
2026-06-08 00:00:00,Long,BAP,368.38,14.23%,269.58,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CREDICORP LTD,1WK
2026-06-08 00:00:00,Long,BAP,368.38,14.23%,269.58,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CREDICORP LTD,1WK
2026-06-08 00:00:00,Long,PFGC,104.06,7.15%,90.53,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PERFORMANCE FOOD GROUP CO,1WK
2026-06-08 00:00:00,Long,KEY,22.33,3.64%,20.6,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KEYCORP,1WK
2026-06-08 00:00:00,Short,META,568.43,-4.14%,645.77,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",META PLATFORMS INC-CLASS A,1WK
