日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-07-31,300119,瑞普生物,17.02,17.95,1102759.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",动物保健Ⅱ,86.72,62.5
2026-07-31,300138,晨光生物,11.64,29.33,1943154.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",农产品加工,63.24,52.14
2026-07-31,300158,振东制药,4.93,6.94,4613825.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,61.72,61.68
2026-07-31,300182,捷成股份,5.1,7.61,20654835.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",影视院线,152.37,129.21
2026-07-31,300217,东方电热,4.51,5.62,6587084.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",家电零部件Ⅱ,76.71,63.68
2026-07-31,300253,卫宁健康,7.59,12.78,14625772.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,185.66,152.91
2026-07-31,300291,百纳千成,5.16,6.83,8478146.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",影视院线,63.86,63.11
2026-07-31,300347,泰格医药,49.99,4.43,5669372.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗服务,460.22,302.64
2026-07-31,300358,楚天科技,8.43,5.38,6046025.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗器械,68.29,66.97
2026-07-31,300369,绿盟科技,7.44,36.76,17631386.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,69.47,69.25
2026-07-31,300388,节能国祯,6.83,10.7,1361044.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",环境治理,55.78,55.78
2026-07-31,300415,伊之密,21.34,7.18,2027357.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",专用设备,114.14,110.37
2026-07-31,300527,ST应急,7.53,16.0,1844849.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",地面兵装Ⅱ,82.05,82.05
2026-07-31,300638,广和通,20.7,11.83,6211480.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",通信设备,233.36,137.65
2026-07-31,300761,立华股份,19.07,16.21,2511705.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",养殖业,171.39,128.55
2026-07-31,300765,新诺威,38.02,39.63,5999193.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,453.4,453.4
2026-07-31,300766,每日互动,23.64,10.47,7343298.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,134.93,122.45
2026-07-31,300768,迪普科技,16.28,18.23,3720461.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,99.86,65.25
2026-07-31,300770,新媒股份,35.37,12.32,514032.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电视广播Ⅱ,89.08,89.08
2026-07-31,300779,惠城环保,79.38,58.13,3431049.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",环境治理,175.88,140.96
2026-07-31,300788,中信出版,26.57,19.14,753073.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",出版,57.63,57.63
2026-07-31,300981,中红医疗,14.79,54.55,2002751.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗器械,57.04,52.27
2026-07-31,300997,欢乐家,18.25,34.69,2470232.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",饮料乳品,87.23,79.18
2026-07-31,301015,百洋医药,22.35,17.26,2254609.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医药商业,118.53,118.51
2026-07-31,301035,润丰股份,56.58,21.94,397899.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",农化制品,215.86,215.53
2026-07-31,301039,中集车辆,8.36,24.4,4446706.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",商用车,167.36,129.7
2026-07-31,301047,义翘神州,67.5,4.55,558923.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",生物制品,85.84,84.39
2026-07-31,301207,华兰疫苗,17.67,8.47,1361528.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",生物制品,115.22,115.14
2026-07-31,301291,明阳电气,38.28,7.65,2167360.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电网设备,169.24,87.62
2026-07-31,301293,三博脑科,54.11,12.31,2910145.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医疗服务,138.88,108.51
2026-07-31,600007,中国国贸,19.2,1.16,530237.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",房地产开发,202.87,202.87
2026-07-31,600008,首创环保,2.95,8.46,18055620.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",环境治理,235.63,235.63
2026-07-31,600017,日照港,2.78,11.2,7453915.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航运港口,97.5,97.5
2026-07-31,600020,中原高速,3.85,7.78,3256605.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",铁路公路,87.65,87.65
2026-07-31,600022,山东钢铁,1.39,12.1,23626412.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",普钢,163.69,163.69
2026-07-31,600027,华电国际,4.81,8.09,19153556.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电力,592.2,470.0
2026-07-31,600032,浙江新能,7.34,4.11,9256535.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电力,281.59,281.59
2026-07-31,600033,福建高速,3.65,15.63,5569827.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",铁路公路,101.54,101.54
2026-07-31,600037,歌华有线,7.07,12.76,4439864.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电视广播Ⅱ,104.1,104.1
2026-07-31,600054,黄山旅游,11.3,5.61,1413158.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",旅游及景区,97.3,68.47
