日期,信号,代码,名称,现价,涨幅,止损,策略,参组,参数,周期
2026-06-29 00:00:00,Long,07618,JD INDUSTRIALS,11.5,7.38%,9.15,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09606,DUALITYBIO-B,209.2,28.50%,125.88,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09606,DUALITYBIO-B,209.2,28.50%,125.88,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09618,JD-SW,102.8,7.08%,89.85,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09618,JD-SW,102.8,7.08%,89.85,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09626,BILIBILI-W,134.5,7.86%,109.26,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09626,BILIBILI-W,134.5,7.86%,109.26,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09690,TUHU-W,12.82,12.06%,10.32,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09690,TUHU-W,12.82,12.06%,10.32,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09868,XPENG-W,51.8,13.65%,39.51,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09868,XPENG-W,51.8,13.65%,39.51,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09901,NEW ORIENTAL-S,36.3,4.61%,32.32,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09901,NEW ORIENTAL-S,36.3,4.61%,32.32,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09926,AKESO,94.8,13.81%,68.11,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09926,AKESO,94.8,13.81%,68.11,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09936,XIMEI RESOURCES,20.94,11.00%,15.14,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,09987,YUM CHINA,325.8,3.04%,293.43,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,09987,YUM CHINA,325.8,3.04%,293.43,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,83690,MEITUAN-WR,70.85,10.27%,58.55,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,83690,MEITUAN-WR,70.85,10.27%,58.55,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,89618,JD-SWR,102.8,7.08%,89.85,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,89618,JD-SWR,102.8,7.08%,89.85,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
