日期,代码,名称,现价,涨幅(%),成交量,离SMA200(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-08-04,603150,万朗磁塑,48.64,5.33,15842.0,-6.27,,suf,"{""suf"": {""timeframe"": ""d""}}",塑料,38.77,38.77,2.45,3.47,5.92,9.0,8.9,9.81,11.31,12.25,13.06,11.84,5.08,7.55,10.83,8.72,6.76,6.19,4.48,9.97,16.98,9.79,16.16,27.78,36.74,42.87,43.69,44.2,44.94,43.73,39.88,41.49
2026-08-04,603262,技源集团,19.2,1.0,66750.0,-29.0,,suf,"{""suf"": {""timeframe"": ""d""}}",食品加工,99.76,9.98,0.73,6.46,2.92,2.29,-0.1,0.05,-1.46,-3.02,-2.71,-2.34,-6.25,-6.77,-7.97,-4.17,-4.43,-2.34,-2.66,-1.93,-1.09,3.49,4.69,1.67,0.1,-0.83,-1.98,-6.46,-9.69,-12.81,-9.69,-5.1
2026-08-04,603283,赛腾股份,39.24,7.18,211600.0,-21.79,,suf,"{""suf"": {""timeframe"": ""d""}}",自动化设备,116.88,116.88,6.93,9.53,13.18,13.23,11.77,18.35,17.92,22.96,26.1,31.29,18.17,19.32,19.14,21.3,20.03,17.69,23.55,20.92,25.33,20.16,18.68,18.04,11.37,16.08,16.13,14.98,14.68,11.75,12.41,14.81
2026-08-04,603306,华懋科技,61.33,10.01,124291.0,-20.66,,suf,"{""suf"": {""timeframe"": ""d""}}",汽车零部件,251.44,251.44,10.0,10.06,19.08,27.18,15.44,16.66,17.4,19.03,24.9,25.88,14.32,21.12,21.08,19.0,19.16,20.95,26.32,25.65,27.65,24.13,23.12,22.29,16.7,23.45,23.68,25.32,27.47,23.37,25.32,26.09
2026-08-04,603688,石英股份,43.46,6.31,151017.0,-12.43,,suf,"{""suf"": {""timeframe"": ""d""}}",非金属材料Ⅱ,229.89,229.89,7.02,9.46,13.78,12.45,11.83,14.38,11.34,13.99,17.76,18.5,9.18,10.06,12.17,8.84,7.46,7.85,18.64,18.52,17.58,13.3,10.56,8.21,3.5,7.27,7.82,9.5,8.12,7.87,9.76,10.91
2026-08-04,603800,洪田股份,52.47,10.0,100741.0,-0.67,,suf,"{""suf"": {""timeframe"": ""d""}}",专用设备,79.08,79.08,6.25,15.08,18.93,19.78,20.18,24.8,21.97,31.14,39.74,39.22,27.56,29.39,27.88,24.68,26.09,15.09,24.3,17.46,20.43,16.6,13.02,10.12,7.01,9.87,9.4,10.35,9.66,6.88,11.51,10.98
2026-08-04,603920,世运电路,33.06,4.65,246132.0,-34.8,,suf,"{""suf"": {""timeframe"": ""d""}}",元件,368.22,368.22,4.3,6.56,10.89,9.1,9.17,13.04,18.0,17.97,20.57,23.08,14.04,15.34,17.54,12.37,12.43,12.58,17.45,13.97,16.91,13.79,13.76,13.31,8.68,16.76,19.27,22.05,21.69,25.38,31.34,28.4
2026-08-04,603931,格林达,32.23,10.0,79945.0,-14.18,,suf,"{""suf"": {""timeframe"": ""d""}}",电子化学品Ⅱ,54.6,54.6,7.48,12.94,14.33,12.53,11.51,16.79,14.99,22.09,23.7,20.29,10.92,9.93,10.46,8.44,8.84,8.53,13.43,11.29,13.34,8.66,6.76,6.61,3.41,6.08,4.84,4.47,2.82,1.24,2.26,5.8
2026-08-04,603936,博敏电子,13.44,9.98,443756.0,-11.14,,suf,"{""suf"": {""timeframe"": ""d""}}",元件,84.03,84.03,3.42,7.74,18.53,14.29,13.1,16.22,13.91,17.56,29.32,42.26,33.26,30.51,30.95,28.05,28.05,26.12,37.05,34.9,36.46,30.73,26.26,25.3,18.9,30.8,30.58,35.12,41.22,55.36,65.85,64.88
2026-08-04,605589,圣泉集团,36.21,9.99,379282.0,-1.1,,suf,"{""suf"": {""timeframe"": ""d""}}",塑料,253.24,252.41,7.46,9.17,17.04,14.86,14.06,14.75,13.48,17.32,21.51,17.7,5.94,5.39,7.43,3.62,3.04,4.09,10.8,10.36,12.46,6.77,7.51,5.77,1.8,5.27,6.24,6.43,6.38,5.11,7.82,9.36
