日期,信号,代码,相距SMA,现价,涨幅,止损,策略,参组,参数,名称,周期,SMA,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-09-21 00:00:00,Long,WAY,,25.71,0.19%,24.22,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WAYSTAR HOLDING CORP,1D,,一直释放,34.65-27.91-27.17-21.96-24.76,低-低-低-高,19.45%-2.64%-19.18%-12.75%,53.0,22.93
2026-09-21 00:00:00,Short,TBN,,36.52,-4.52%,39.93,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TAMBORAN RESOURCES CORP,1D,,,,,,,
2026-09-21 00:00:00,Long,KMRK,,1.0,-1.96%,0.86,mfa,参数一,"{""mfa"": {""mfa_all"": 7}}",K-TECH SOLUTIONS CO LTD-A,1D,,,,,,,
2026-09-21 00:00:00,Long,KMRK,,1.0,-1.96%,0.86,mfa,参数二,"{""mfa"": {""mfa_all"": 7}}",K-TECH SOLUTIONS CO LTD-A,1D,,,,,,,
2026-09-21 00:00:00,Long,TTAM,-16.01,13.81,3.68%,12.77,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",TITAN AMERICA SA,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,TTAM,-16.01,13.81,3.68%,12.77,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",TITAN AMERICA SA,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,GBFH,-33.54,19.19,1.43%,17.99,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",GBANK FINANCIAL HOLDINGS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,GBFH,-33.54,19.19,1.43%,17.99,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",GBANK FINANCIAL HOLDINGS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,KPLT,30.19,8.82,-7.16%,10.19,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",KATAPULT HOLDINGS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,KPLT,30.19,8.82,-7.16%,10.19,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",KATAPULT HOLDINGS INC,1D,200.0,,,,,,
